,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,track_name,artist(s)_name
289,0.24113475177304966,0.2328767123287671,0.44086021505376344,0.5060240963855422,0.7419354838709677,0.0,0.1090909090909091,0.04838709677419355,Say You Won't Let Go,James Arthur
290,0.6028368794326241,0.9178082191780823,0.6451612903225807,0.0,0.7204301075268817,0.38461538461538464,0.14545454545454545,0.12903225806451613,Heart To Heart,Mac DeMarco
291,0.1914893617021276,0.6575342465753424,0.39784946236559143,0.20481927710843376,0.8494623655913979,0.0,0.1272727272727273,0.04838709677419355,Peaches (from The Super Mario Bros. Movie),Jack Black
292,0.21276595744680848,0.7397260273972603,0.7311827956989249,0.8795180722891568,0.1827956989247312,0.0,0.07272727272727272,0.04838709677419355,Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile"
293,0.26241134751773043,0.821917808219178,0.5806451612903226,0.8313253012048193,0.22580645161290325,0.0,0.1272727272727273,0.04838709677419355,LOKERA,"Brray, Rauw Alejandro, Lyanno"
294,0.2056737588652482,0.6164383561643836,0.827956989247312,0.819277108433735,0.5698924731182796,0.0,0.1090909090909091,0.17741935483870966,on the street (with J. Cole),"j-hope, J. Cole"
295,0.5460992907801417,0.5205479452054795,0.9462365591397851,0.9277108433734941,0.0,0.0,0.41818181818181815,0.016129032258064516,One Thing At A Time,Morgan Wallen
296,0.5673758865248227,0.49315068493150677,0.17204301075268819,0.7228915662650603,0.010752688172043012,0.0,0.21818181818181817,0.04838709677419355,Miss You,"Robin Schulz, Oliver Tree"
297,0.3971631205673759,0.5616438356164384,0.6774193548387097,0.7951807228915663,0.0,0.0,0.6,0.016129032258064516,Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen
298,0.5319148936170213,0.5890410958904109,0.41935483870967744,0.746987951807229,0.5268817204301076,0.0,0.16363636363636364,0.016129032258064516,Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen
299,0.5106382978723404,0.8356164383561644,0.43010752688172044,0.6385542168674699,0.08602150537634409,0.0,0.14545454545454545,0.06451612903225806,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber"
300,0.276595744680851,0.4520547945205479,0.7311827956989249,0.855421686746988,0.0,0.0,0.21818181818181817,0.016129032258064516,Everything I Love,Morgan Wallen
301,0.1914893617021276,0.4657534246575343,0.6881720430107527,0.746987951807229,0.07526881720430108,0.0,0.5454545454545454,0.016129032258064516,Heaven,Niall Horan
302,0.5744680851063829,0.6986301369863015,0.5053763440860216,0.37349397590361455,0.924731182795699,0.0,0.3272727272727272,0.5806451612903226,LET GO,Central Cee
